,ID,Name,Age,Email,Join Date,Salary,Department
0,1e407ff9-6255-489d-a0de-34135d4f74bd,Hunter Thomas,25,xlopez@hotmail.com,,88552,Sales
1,379f55b8-87d5-4739-a146-7400b78c24d1,Jeremy Irwin,90,Jillian Jenkins,7/7/2022,139227,
2,18261368-dfa1-47f0-afc6-bddf45926b07,Jennifer Hammondquickly,66,jscottgreen.biz,11/21/2023,65550,Engineering
3,ae7cf7cf-17cf-4c8b-9c44-4f61a9a238e5,Sydney Taylorso,39,luke56gonzalez.com,11/5/2021,139932,SupportJ
4,14ed3e6a-e0f5-4bbe-8d93-8665267f5c90,Julia Lee,71,figueroakayla@yahoo.com,,143456,Marketing
5,f92ea13f-24d3-4792-91e4-5b0e07d90c2c,Lisa Bailey,81,milleryvonne@fowler-york.com,15/10/2016,123018,SupportE
6,c4892dbb-2554-4ce1-8f11-f6597d7f6782,Patricia Brown DVM,66,pperkinshotmail.com,17/09/2020,77311,HR
7,465e625b-f924-4061-8356-c7e3130f7118,Derek Murphy,38,josephrobertsongmail.com,1/12/2021,,Support
8,12cc2f16-d641-402e-b22b-3332bafc4f1d,,71,andrew74@hotmail.com,2/12/2022,83354,Sales
9,d06f507d-62e5-4bd6-a252-4e60e109d324,Jay Fisher,44,denisemaynard@jordan.com,12/8/2022,37701.72599,HR
10,d5fe9321-49cf-4f14-ac96-7aea1204247b,Craig Conway,88,gerald47@woodard-smith.com,,81214.52597,Engineering
11,21763907-db1a-400a-8464-e3af593c3abc,Raymond Wilson,44,katherinewallacehotmail.com,8/26/2021,128335,HRC
12,da63d159-e9b0-4b92-b0fe-4e87df3aebc1,Amber Marsh,23,robert43@gmail.com,9/8/2023,112970,Engineering
13,5ca27087-5c90-4d42-94d0-7e9ee3f422b9,Patrick Mooney,57,bowersjasmine@hotmail.com,6/24/2023,41511.13965,SalesA
14,9b83a5e5-9516-493f-86f8-d6c445edb501,Nicole Cardenas,60,griffinlinda@harrison.com,16/10/2003,51625.8144,Marketing
